"Y" "X1" "X2" "X3" "X4" "X5"
4.2 7.53 42 23.1 98.9 95
6.6 13.95 65.9 15.6 133.5 356
5.3 8.15 54.9 12.3 79.8 99
4.5 8.28 48.1 26 101.8 108
5 7.78 45.5 20.9 71.6 489
1.3 8.92 53.9 2.2 79.5 56
5.7 11.8 53.8 9.1 116.9 571
4.4 8.88 55.8 14.1 76.8 237
4.4 10.02 49.5 8.3 93 265
4.9 11.07 53.2 28.5 122 768
1.6 8.82 58.2 3.8 51.7 80
5.4 7.93 64.1 7.5 98.1 68
4.1 7.13 55.7 9 39.6 279
4.3 7.65 47.1 16.4 65.7 318
5.2 9.84 53 17.7 72.6 210
5.6 8.95 53.7 18.9 122.8 147
6.1 13.59 54 24.2 111.7 312
2.3 7.95 51.8 4.6 54.9 163
3.5 8.03 54.2 24.3 87.3 97
2.7 7.14 57.6 13.1 92.6 92
2 7.08 52 12.3 56.4 87
4.6 9.68 57.8 16.7 79 186
4.5 9.44 52.5 10.9 58.5 297
5.6 11.48 57.6 20.3 82 252
3.8 8.66 52.8 6.8 69.5 246
4.1 9.35 53.8 15.9 80.9 833
3.2 8.19 52.1 10.8 59.2 176
1.3 8.16 60.9 1.9 58 73
4.8 12.01 52.8 10.8 96.9 298
2.9 8.9 49.7 12.7 86.9 52
4.1 9.05 51.2 20.5 79.8 195
4.2 9.06 52.8 6.9 75.9 134
5.9 17.94 56.2 26.4 91.8 835
7.8 12.07 43.7 52.4 105.3 157
7.7 12.78 56.8 46 116.9 322
4.3 9.89 45.2 11.8 108.7 190
4.8 9.36 54.1 18.3 90.6 165
2.9 7.91 52.8 11.9 79.5 477
5.1 9.76 50.9 21.9 97 150
4.6 7.84 49.1 7.1 87.9 60
5.8 11.41 50.4 23.8 73 424
1.4 7.14 51.7 4.1 45.7 115
5 11.03 49.9 19.7 102.1 318
2.1 8.02 55 3.8 46.5 91
5.5 11.08 50.2 18.6 63.6 387
5 9.78 52.3 17.6 95.9 270
5 10.33 55.8 21.2 104.3 266
6.4 11.62 53.9 25.5 99.2 133
3.7 7.58 56.7 20.8 88 97
2.5 8.54 56.1 27 82.5 98
3.1 9.41 59.5 20.6 91.7 29
1.7 8.09 56.9 7.6 56.9 92
3.7 8.48 51.1 12.1 92.8 166
1.8 7.67 51.7 2.5 40.4 106
3.9 10.73 50.6 19.3 101 445
3 11.2 45 7 78.9 130
6.5 19.56 59.9 17.2 113.7 306
4.9 9.89 50.5 17.7 103.6 167
3.5 7.94 49.5 6.2 92.3 195
4.5 9.61 52.4 6.9 87.2 487
