"Y" "X1" "X2" "X3" "X4" "X5"
2.9 8.86 51.3 9.5 87.5 100
5.5 8.37 50.7 15.1 84.8 115
5.3 9.77 50.2 15.7 89.7 154
5 10.33 55.8 21.2 104.3 266
5.5 11.08 50.2 18.6 63.6 387
4.7 10.72 53.8 23.2 94.1 113
5.4 11.18 45.7 60.5 85.8 640
2.3 7.95 51.8 4.6 54.9 163
4 9.2 52.2 17.5 71.1 298
4.5 10.05 52 36.7 87.5 184
4.4 10.02 49.5 8.3 93 265
1.4 7.14 51.7 4.1 45.7 115
5 7.78 45.5 20.9 71.6 489
5.6 8.95 53.7 18.9 122.8 147
4.9 11.07 53.2 28.5 122 768
7.7 12.78 56.8 46 116.9 322
4.9 10.23 53.2 9.9 77.9 752
5.3 8.15 54.9 12.3 79.8 99
7.6 11.41 61.1 16.6 97.9 535
3.5 8.03 54.2 24.3 87.3 97
4.6 9.68 57.8 16.7 79 186
4.6 7.84 49.1 7.1 87.9 60
6.4 11.62 53.9 25.5 99.2 133
3.9 10.73 50.6 19.3 101 445
4.8 10.24 49 36.3 112.6 195
4.5 6.7 48.6 13 80.8 76
4.2 8.88 51.5 10.1 86.9 305
5.1 9.76 50.9 21.9 97 150
4.5 11.46 56.9 15.6 97.7 191
4.8 12.01 52.8 10.8 96.9 298
1.8 7.67 51.7 2.5 40.4 106
4.4 8.88 55.8 14.1 76.8 237
5.6 10.12 51.7 14.9 79.1 362
4.5 9.61 52.4 6.9 87.2 487
4.4 7.7 56.9 12.2 67.9 129
5.7 11.18 51 18.8 55.9 595
1.6 8.82 58.2 3.8 51.7 80
5 11.03 49.9 19.7 102.1 318
5.7 11.8 53.8 9.1 116.9 571
4.2 9.06 52.8 6.9 75.9 134
3.7 7.14 59 2.6 75.8 70
2.1 8.02 55 3.8 46.5 91
3.4 10.42 58 8 59 119
4.2 7.53 42 23.1 98.9 95
5.8 11.41 50.4 23.8 73 424
4.1 9.05 51.2 20.5 79.8 195
4.3 7.65 47.1 16.4 65.7 318
6.5 19.56 59.9 17.2 113.7 306
4.8 9.84 62.2 12 82.3 600
6.1 13.59 54 24.2 111.7 312
1.3 8.16 60.9 1.9 58 73
6.3 9.74 54.4 11.4 76.1 221
4.1 9.35 53.8 15.9 80.9 833
4.2 7.39 51 14.6 88.4 72
3.8 8.66 52.8 6.8 69.5 246
5.6 11.48 57.6 20.3 82 252
2.9 7.91 52.8 11.9 79.5 477
3.5 7.94 49.5 6.2 92.3 195
4.1 10.47 53.2 5.7 69.1 196
4.4 11.65 54.5 18.6 96.1 248
5.5 7.63 52.1 11.6 61.1 197
2.9 10.8 63.9 1.6 57.4 130
4.7 8.77 54.5 5.2 47 143
4.2 9 56.3 14.6 76.4 72
3.9 11.15 56.5 7.7 73.9 281
