"Y" "X1" "X2" "X3" "X4" "X5"
3.9 11.15 56.5 7.7 73.9 281
5.4 11.18 45.7 60.5 85.8 640
7.6 11.41 61.1 16.6 97.9 535
4.2 8.88 51.5 10.1 86.9 305
4.3 9.89 45.2 11.8 108.7 190
4.4 9.66 52.1 9.9 98.3 83
2.9 7.91 52.8 11.9 79.5 477
3.1 9.41 59.5 20.6 91.7 29
3.5 7.94 49.5 6.2 92.3 195
1.4 7.14 51.7 4.1 45.7 115
4.5 9.61 52.4 6.9 87.2 487
4.1 9.05 51.2 20.5 79.8 195
2.7 8.34 56.9 8.1 74 107
3.8 8.66 52.8 6.8 69.5 246
4.8 10.24 49 36.3 112.6 195
3 11.2 45 7 78.9 130
4.4 11.65 54.5 18.6 96.1 248
4.3 8.67 48.2 24.4 90.8 182
6.3 9.74 54.4 11.4 76.1 221
2.6 9.76 53.2 6.9 80.1 64
5.2 9.84 53 17.7 72.6 210
4.5 9.31 47.2 30.2 101.3 170
5.3 11.77 54.1 17.3 56 196
5 11.03 49.9 19.7 102.1 318
4.6 9.68 57.8 16.7 79 186
4.3 9.23 51.6 11.6 42.6 620
4.2 9.06 52.8 6.9 75.9 134
3.7 8.48 51.1 12.1 92.8 166
4.5 10.05 52 36.7 87.5 184
5 10.33 55.8 21.2 104.3 266
2.9 10.8 63.9 1.6 57.4 130
2.3 7.95 51.8 4.6 54.9 163
5.7 11.2 56.5 34.5 88.9 180
7.8 12.07 43.7 52.4 105.3 157
4.6 7.84 49.1 7.1 87.9 60
4.8 9.36 54.1 18.3 90.6 165
1.3 8.92 53.9 2.2 79.5 56
5.7 11.18 51 18.8 55.9 595
4.3 9.42 50.6 24.8 62.8 508
2.5 8.54 56.1 27 82.5 98
1.3 8.16 60.9 1.9 58 73
1.8 7.67 51.7 2.5 40.4 106
4.8 12.01 52.8 10.8 96.9 298
4.1 9.35 53.8 15.9 80.9 833
4.8 9.84 62.2 12 82.3 600
4.6 10.16 54.2 8.4 51.5 831
4.4 10.02 49.5 8.3 93 265
3.9 8.28 49.5 12 113.1 546
1.6 8.82 58.2 3.8 51.7 80
4.3 10.39 54.6 14 88.3 353
3.7 7.14 59 2.6 75.8 70
2.7 7.14 57.6 13.1 92.6 92
4.1 7.13 55.7 9 39.6 279
6.2 10.15 51.9 16.4 59.2 568
4.2 9 56.3 14.6 76.4 72
5.1 10.3 59.6 27.8 88.9 175
3.7 8.58 55 7.4 95.9 304
2 7.08 52 12.3 56.4 87
5 9.78 52.3 17.6 95.9 270
4.9 9.89 50.5 17.7 103.6 167
5.8 9.5 49.3 42 70.9 98
3.7 7.58 56.7 20.8 88 97
4.9 11.07 53.2 28.5 122 768
4 9.2 52.2 17.5 71.1 298
5.9 17.94 56.2 26.4 91.8 835
