"Y" "X1" "X2" "X3" "X4" "X5"
4.3 9.42 50.6 24.8 62.8 508
4.7 8.77 54.5 5.2 47 143
2.1 8.02 55 3.8 46.5 91
6.6 13.95 65.9 15.6 133.5 356
4.1 7.13 55.7 9 39.6 279
5.3 8.15 54.9 12.3 79.8 99
4 9.2 52.2 17.5 71.1 298
4.8 9.84 62.2 12 82.3 600
4.4 7.7 56.9 12.2 67.9 129
3 11.2 45 7 78.9 130
4.9 10.23 53.2 9.9 77.9 752
2.5 8.54 56.1 27 82.5 98
4.5 6.7 48.6 13 80.8 76
1.6 8.82 58.2 3.8 51.7 80
1.8 7.67 51.7 2.5 40.4 106
4.2 7.53 42 23.1 98.9 95
6.3 8.84 56.3 29.6 82.6 85
4.6 9.68 57.8 16.7 79 186
6.3 9.74 54.4 11.4 76.1 221
5.6 11.48 57.6 20.3 82 252
7.6 11.41 61.1 16.6 97.9 535
4.3 7.65 47.1 16.4 65.7 318
2.8 9.97 58.2 16.5 76.5 90
3.9 8.28 49.5 12 113.1 546
3.7 7.58 56.7 20.8 88 97
2.7 8.34 56.9 8.1 74 107
3.5 7.94 49.5 6.2 92.3 195
3.7 7.14 59 2.6 75.8 70
5.6 10.12 51.7 14.9 79.1 362
7.8 12.07 43.7 52.4 105.3 157
4.8 12.01 52.8 10.8 96.9 298
4.6 7.84 49.1 7.1 87.9 60
4.1 10.47 53.2 5.7 69.1 196
4.3 10.39 54.6 14 88.3 353
5.1 10.3 59.6 27.8 88.9 175
5.1 9.76 50.9 21.9 97 150
5.3 11.77 54.1 17.3 56 196
3.8 8.66 52.8 6.8 69.5 246
3.1 9.41 59.5 20.6 91.7 29
3.1 8.63 54 8.4 56.2 76
4.5 9.61 52.4 6.9 87.2 487
5.2 9.84 53 17.7 72.6 210
1.3 8.92 53.9 2.2 79.5 56
3.9 11.15 56.5 7.7 73.9 281
4.4 9.66 52.1 9.9 98.3 83
3.5 8.03 54.2 24.3 87.3 97
2.9 7.91 52.8 11.9 79.5 477
3.4 8.45 38.8 12.9 85 235
5 10.33 55.8 21.2 104.3 266
4.3 9.89 45.2 11.8 108.7 190
6.1 13.59 54 24.2 111.7 312
5.5 11.08 50.2 18.6 63.6 387
4.8 9.36 54.1 18.3 90.6 165
5.5 8.37 50.7 15.1 84.8 115
4.2 9 56.3 14.6 76.4 72
