"Y" "X1" "X2" "X3" "X4" "X5"
4.6 10.16 54.2 8.4 51.5 831
1.3 8.92 53.9 2.2 79.5 56
5.8 11.41 50.4 23.8 73 424
3.1 8.63 54 8.4 56.2 76
3.4 10.42 58 8 59 119
3.9 11.15 56.5 7.7 73.9 281
4.7 10.72 53.8 23.2 94.1 113
5.3 8.15 54.9 12.3 79.8 99
5.7 11.8 53.8 9.1 116.9 571
2.5 8.54 56.1 27 82.5 98
4.5 6.7 48.6 13 80.8 76
6.2 10.15 51.9 16.4 59.2 568
5.3 11.77 54.1 17.3 56 196
4.2 9 56.3 14.6 76.4 72
5.7 11.2 56.5 34.5 88.9 180
5.1 10.3 59.6 27.8 88.9 175
2.9 10.8 63.9 1.6 57.4 130
5.4 7.93 64.1 7.5 98.1 68
4.9 9.89 50.5 17.7 103.6 167
4.5 11.46 56.9 15.6 97.7 191
4.8 12.01 52.8 10.8 96.9 298
2.9 7.91 52.8 11.9 79.5 477
6.3 8.84 56.3 29.6 82.6 85
6.6 13.95 65.9 15.6 133.5 356
5.5 11.08 50.2 18.6 63.6 387
4.8 10.24 49 36.3 112.6 195
2.9 10.79 44.2 2.6 56.6 461
7.7 12.78 56.8 46 116.9 322
1.8 7.67 51.7 2.5 40.4 106
4.5 9.44 52.5 10.9 58.5 297
5.6 8.95 53.7 18.9 122.8 147
4.3 10.39 54.6 14 88.3 353
1.3 8.16 60.9 1.9 58 73
6.5 19.56 59.9 17.2 113.7 306
5 7.78 45.5 20.9 71.6 489
5.2 9.53 51.5 15 65.7 298
4.5 9.61 52.4 6.9 87.2 487
3.9 8.28 49.5 12 113.1 546
4.4 7.7 56.9 12.2 67.9 129
5.5 8.37 50.7 15.1 84.8 115
5.6 11.48 57.6 20.3 82 252
2 8.93 56 6.2 72.5 95
5.3 9.77 50.2 15.7 89.7 154
4.6 9.68 57.8 16.7 79 186
4.6 7.84 49.1 7.1 87.9 60
4.4 10.02 49.5 8.3 93 265
4.3 9.23 51.6 11.6 42.6 620
4.5 9.31 47.2 30.2 101.3 170
3.7 8.48 51.1 12.1 92.8 166
3.7 7.14 59 2.6 75.8 70
2.9 8.9 49.7 12.7 86.9 52
5.5 7.63 52.1 11.6 61.1 197
3.8 8.66 52.8 6.8 69.5 246
6.3 9.74 54.4 11.4 76.1 221
2.7 8.34 56.9 8.1 74 107
3.1 9.41 59.5 20.6 91.7 29
2.6 9.76 53.2 6.9 80.1 64
5.1 9.76 50.9 21.9 97 150
3.4 8.45 38.8 12.9 85 235
4.3 8.3 57.2 6.8 83.8 167
4.5 10.05 52 36.7 87.5 184
3 11.2 45 7 78.9 130
4.4 9.66 52.1 9.9 98.3 83
4.3 7.65 47.1 16.4 65.7 318
1.7 8.09 56.9 7.6 56.9 92
