"Y" "X1" "X2" "X3" "X4" "X5"
4.3 8.67 48.2 24.4 90.8 182
4.5 9.44 52.5 10.9 58.5 297
1.3 8.16 60.9 1.9 58 73
3.8 8.66 52.8 6.8 69.5 246
4.8 9.36 54.1 18.3 90.6 165
5 11.03 49.9 19.7 102.1 318
4.3 7.65 47.1 16.4 65.7 318
1.3 8.92 53.9 2.2 79.5 56
4.1 7.13 55.7 9 39.6 279
3 11.2 45 7 78.9 130
4.1 9.35 53.8 15.9 80.9 833
4.2 9 56.3 14.6 76.4 72
5.4 11.18 45.7 60.5 85.8 640
2.6 9.76 53.2 6.9 80.1 64
4.8 12.01 52.8 10.8 96.9 298
6.2 10.15 51.9 16.4 59.2 568
5.7 11.18 51 18.8 55.9 595
3.4 8.45 38.8 12.9 85 235
4.4 8.88 55.8 14.1 76.8 237
1.4 7.14 51.7 4.1 45.7 115
1.6 8.82 58.2 3.8 51.7 80
2.9 10.79 44.2 2.6 56.6 461
4.4 10.02 49.5 8.3 93 265
5 10.33 55.8 21.2 104.3 266
6.6 13.95 65.9 15.6 133.5 356
2.3 7.95 51.8 4.6 54.9 163
4 9.2 52.2 17.5 71.1 298
3.7 7.14 59 2.6 75.8 70
5.5 10.9 57.2 10.6 71.9 593
2 8.93 56 6.2 72.5 95
4.9 9.89 50.5 17.7 103.6 167
3.5 7.94 49.5 6.2 92.3 195
2.1 8.02 55 3.8 46.5 91
3.9 11.15 56.5 7.7 73.9 281
3.9 10.73 50.6 19.3 101 445
5 7.78 45.5 20.9 71.6 489
5.5 11.08 50.2 18.6 63.6 387
5.3 8.15 54.9 12.3 79.8 99
4.5 9.31 47.2 30.2 101.3 170
4.2 7.53 42 23.1 98.9 95
4.3 9.42 50.6 24.8 62.8 508
2.7 7.14 57.6 13.1 92.6 92
5.5 7.63 52.1 11.6 61.1 197
5.7 11.2 56.5 34.5 88.9 180
4.9 10.23 53.2 9.9 77.9 752
5.6 11.48 57.6 20.3 82 252
2 7.08 52 12.3 56.4 87
4.7 10.72 53.8 23.2 94.1 113
1.7 8.09 56.9 7.6 56.9 92
4.5 8.28 48.1 26 101.8 108
