"Y" "X1" "X2" "X3" "X4" "X5"
3.8 8.66 52.8 6.8 69.5 246
5.7 11.2 56.5 34.5 88.9 180
2.1 8.02 55 3.8 46.5 91
5.1 10.3 59.6 27.8 88.9 175
5.4 7.93 64.1 7.5 98.1 68
4.2 7.53 42 23.1 98.9 95
4.8 10.24 49 36.3 112.6 195
7.7 12.78 56.8 46 116.9 322
5.4 11.18 45.7 60.5 85.8 640
3.7 7.14 59 2.6 75.8 70
2.8 9.97 58.2 16.5 76.5 90
3.1 8.63 54 8.4 56.2 76
4.4 10.02 49.5 8.3 93 265
3.9 8.28 49.5 12 113.1 546
4.5 6.7 48.6 13 80.8 76
2.7 8.34 56.9 8.1 74 107
5.2 9.84 53 17.7 72.6 210
4.3 9.42 50.6 24.8 62.8 508
1.6 8.82 58.2 3.8 51.7 80
5.3 8.15 54.9 12.3 79.8 99
3.2 8.19 52.1 10.8 59.2 176
5.6 11.48 57.6 20.3 82 252
5.7 11.8 53.8 9.1 116.9 571
2.9 10.8 63.9 1.6 57.4 130
1.4 7.14 51.7 4.1 45.7 115
4.9 9.89 50.5 17.7 103.6 167
4.5 8.28 48.1 26 101.8 108
3.9 10.73 50.6 19.3 101 445
4.2 9 56.3 14.6 76.4 72
4.2 9.06 52.8 6.9 75.9 134
5.7 11.18 51 18.8 55.9 595
3.1 9.41 59.5 20.6 91.7 29
4.3 9.89 45.2 11.8 108.7 190
5.5 10.9 57.2 10.6 71.9 593
6.4 11.62 53.9 25.5 99.2 133
4.8 9.84 62.2 12 82.3 600
2 8.93 56 6.2 72.5 95
6.5 19.56 59.9 17.2 113.7 306
3 11.2 45 7 78.9 130
5.5 8.37 50.7 15.1 84.8 115
4.6 7.84 49.1 7.1 87.9 60
1.3 8.16 60.9 1.9 58 73
1.7 8.09 56.9 7.6 56.9 92
5.8 9.5 49.3 42 70.9 98
4.2 8.88 51.5 10.1 86.9 305
1.8 7.67 51.7 2.5 40.4 106
4.3 8.67 48.2 24.4 90.8 182
4.2 7.39 51 14.6 88.4 72
4.1 7.13 55.7 9 39.6 279
2 7.08 52 12.3 56.4 87
4.8 9.36 54.1 18.3 90.6 165
3.4 10.42 58 8 59 119
4.1 10.47 53.2 5.7 69.1 196
2.3 7.95 51.8 4.6 54.9 163
2.6 9.76 53.2 6.9 80.1 64
4.7 10.72 53.8 23.2 94.1 113
5.8 11.41 50.4 23.8 73 424
5 7.78 45.5 20.9 71.6 489
4.4 7.7 56.9 12.2 67.9 129
4.3 7.65 47.1 16.4 65.7 318
4.3 8.3 57.2 6.8 83.8 167
5 10.33 55.8 21.2 104.3 266
4.1 9.05 51.2 20.5 79.8 195
3.7 7.58 56.7 20.8 88 97
5.1 9.76 50.9 21.9 97 150
