"Y" "X1" "X2" "X3" "X4" "X5"
4.5 9.61 52.4 6.9 87.2 487
1.8 7.67 51.7 2.5 40.4 106
6.2 10.15 51.9 16.4 59.2 568
4.9 10.23 53.2 9.9 77.9 752
4.3 8.3 57.2 6.8 83.8 167
3.1 8.63 54 8.4 56.2 76
4.5 11.46 56.9 15.6 97.7 191
4.6 9.68 57.8 16.7 79 186
4.7 10.72 53.8 23.2 94.1 113
1.3 8.16 60.9 1.9 58 73
2.9 7.91 52.8 11.9 79.5 477
1.7 8.09 56.9 7.6 56.9 92
4.5 6.7 48.6 13 80.8 76
4.9 9.89 50.5 17.7 103.6 167
6.3 9.74 54.4 11.4 76.1 221
6.3 8.84 56.3 29.6 82.6 85
7.8 12.07 43.7 52.4 105.3 157
4.3 10.39 54.6 14 88.3 353
5.4 7.93 64.1 7.5 98.1 68
5.1 9.76 50.9 21.9 97 150
5 9.78 52.3 17.6 95.9 270
2 8.93 56 6.2 72.5 95
4.6 10.16 54.2 8.4 51.5 831
3.1 9.41 59.5 20.6 91.7 29
5.7 11.18 51 18.8 55.9 595
4.6 7.84 49.1 7.1 87.9 60
5.5 10.9 57.2 10.6 71.9 593
5.8 11.41 50.4 23.8 73 424
4.3 9.89 45.2 11.8 108.7 190
4.4 10.02 49.5 8.3 93 265
5.2 9.84 53 17.7 72.6 210
4.5 9.31 47.2 30.2 101.3 170
4.8 9.84 62.2 12 82.3 600
4.2 7.39 51 14.6 88.4 72
5.5 8.37 50.7 15.1 84.8 115
3.7 7.58 56.7 20.8 88 97
4.9 11.07 53.2 28.5 122 768
3.5 7.94 49.5 6.2 92.3 195
4.3 8.67 48.2 24.4 90.8 182
2.6 9.76 53.2 6.9 80.1 64
3.7 7.14 59 2.6 75.8 70
3.8 8.66 52.8 6.8 69.5 246
3 11.2 45 7 78.9 130
2.1 8.02 55 3.8 46.5 91
3.7 8.58 55 7.4 95.9 304
3.9 10.73 50.6 19.3 101 445
4.1 10.47 53.2 5.7 69.1 196
5 7.78 45.5 20.9 71.6 489
2.9 10.79 44.2 2.6 56.6 461
3.2 8.19 52.1 10.8 59.2 176
