"Y" "X1" "X2" "X3" "X4" "X5"
2.3 7.95 51.8 4.6 54.9 163
5.8 11.41 50.4 23.8 73 424
5 10.33 55.8 21.2 104.3 266
4.4 11.65 54.5 18.6 96.1 248
5.3 9.77 50.2 15.7 89.7 154
2.7 7.14 57.6 13.1 92.6 92
4.8 9.36 54.1 18.3 90.6 165
5.7 11.2 56.5 34.5 88.9 180
4.3 9.89 45.2 11.8 108.7 190
5.5 10.9 57.2 10.6 71.9 593
4.3 10.39 54.6 14 88.3 353
2.9 10.8 63.9 1.6 57.4 130
3.7 7.14 59 2.6 75.8 70
3.9 11.15 56.5 7.7 73.9 281
3.9 8.28 49.5 12 113.1 546
4.2 9.06 52.8 6.9 75.9 134
2 7.08 52 12.3 56.4 87
3 11.2 45 7 78.9 130
4.1 9.35 53.8 15.9 80.9 833
3.9 10.73 50.6 19.3 101 445
4.3 9.23 51.6 11.6 42.6 620
2 8.93 56 6.2 72.5 95
5.1 10.3 59.6 27.8 88.9 175
4.5 6.7 48.6 13 80.8 76
6.3 9.74 54.4 11.4 76.1 221
4.1 7.13 55.7 9 39.6 279
6.1 13.59 54 24.2 111.7 312
4.6 7.84 49.1 7.1 87.9 60
4.2 9 56.3 14.6 76.4 72
2.1 8.02 55 3.8 46.5 91
3.8 8.66 52.8 6.8 69.5 246
4.4 9.66 52.1 9.9 98.3 83
4.2 7.53 42 23.1 98.9 95
1.8 7.67 51.7 2.5 40.4 106
3.7 7.58 56.7 20.8 88 97
1.4 7.14 51.7 4.1 45.7 115
5.5 8.37 50.7 15.1 84.8 115
2.7 8.34 56.9 8.1 74 107
2.8 9.97 58.2 16.5 76.5 90
1.3 8.16 60.9 1.9 58 73
4.5 9.31 47.2 30.2 101.3 170
5.3 11.77 54.1 17.3 56 196
2.9 7.91 52.8 11.9 79.5 477
4.1 9.05 51.2 20.5 79.8 195
2.9 10.79 44.2 2.6 56.6 461
6.2 10.15 51.9 16.4 59.2 568
5.4 7.93 64.1 7.5 98.1 68
7.6 11.41 61.1 16.6 97.9 535
2.5 8.54 56.1 27 82.5 98
5 9.78 52.3 17.6 95.9 270
4.5 9.61 52.4 6.9 87.2 487
5.2 9.53 51.5 15 65.7 298
5.8 9.5 49.3 42 70.9 98
7.8 12.07 43.7 52.4 105.3 157
4.5 10.05 52 36.7 87.5 184
