"Y" "X1" "X2" "X3" "X4" "X5"
2.9 8.9 49.7 12.7 86.9 52
3.4 10.42 58 8 59 119
4.8 9.84 62.2 12 82.3 600
4.3 8.67 48.2 24.4 90.8 182
4.9 10.23 53.2 9.9 77.9 752
4.5 11.46 56.9 15.6 97.7 191
5.7 11.18 51 18.8 55.9 595
5 7.78 45.5 20.9 71.6 489
2.8 9.97 58.2 16.5 76.5 90
3.9 10.73 50.6 19.3 101 445
5.2 9.53 51.5 15 65.7 298
5 9.78 52.3 17.6 95.9 270
4.6 10.16 54.2 8.4 51.5 831
2.9 10.8 63.9 1.6 57.4 130
5.5 11.08 50.2 18.6 63.6 387
5.1 9.76 50.9 21.9 97 150
5.7 11.8 53.8 9.1 116.9 571
4.4 10.02 49.5 8.3 93 265
4.7 8.77 54.5 5.2 47 143
3.2 8.19 52.1 10.8 59.2 176
4.8 10.24 49 36.3 112.6 195
4.5 9.31 47.2 30.2 101.3 170
4.2 7.53 42 23.1 98.9 95
4.5 9.61 52.4 6.9 87.2 487
4.5 6.7 48.6 13 80.8 76
5 10.33 55.8 21.2 104.3 266
4.1 7.13 55.7 9 39.6 279
4.2 7.39 51 14.6 88.4 72
5.3 8.15 54.9 12.3 79.8 99
1.3 8.16 60.9 1.9 58 73
4.3 8.3 57.2 6.8 83.8 167
5.5 7.63 52.1 11.6 61.1 197
5.7 11.2 56.5 34.5 88.9 180
4.2 9 56.3 14.6 76.4 72
7.8 12.07 43.7 52.4 105.3 157
5.5 8.37 50.7 15.1 84.8 115
5.5 10.9 57.2 10.6 71.9 593
6.4 11.62 53.9 25.5 99.2 133
2.9 10.79 44.2 2.6 56.6 461
5.2 9.84 53 17.7 72.6 210
4.5 9.44 52.5 10.9 58.5 297
4 9.2 52.2 17.5 71.1 298
5 11.03 49.9 19.7 102.1 318
3 11.2 45 7 78.9 130
6.2 10.15 51.9 16.4 59.2 568
4.6 7.84 49.1 7.1 87.9 60
1.7 8.09 56.9 7.6 56.9 92
4.2 9.06 52.8 6.9 75.9 134
5.1 10.3 59.6 27.8 88.9 175
3.1 8.63 54 8.4 56.2 76
2.9 8.86 51.3 9.5 87.5 100
2.5 8.54 56.1 27 82.5 98
4.9 9.89 50.5 17.7 103.6 167
4.3 10.39 54.6 14 88.3 353
5.3 11.77 54.1 17.3 56 196
