"Y" "X1" "X2" "X3" "X4" "X5"
2.3 7.95 51.8 4.6 54.9 163
2.9 8.86 51.3 9.5 87.5 100
4.8 12.01 52.8 10.8 96.9 298
4.6 9.68 57.8 16.7 79 186
5.1 9.76 50.9 21.9 97 150
7.8 12.07 43.7 52.4 105.3 157
3.7 7.58 56.7 20.8 88 97
3.4 8.45 38.8 12.9 85 235
4.1 10.47 53.2 5.7 69.1 196
4.5 9.31 47.2 30.2 101.3 170
5.8 9.5 49.3 42 70.9 98
2.7 7.14 57.6 13.1 92.6 92
4.3 8.3 57.2 6.8 83.8 167
4.3 8.67 48.2 24.4 90.8 182
5.2 9.84 53 17.7 72.6 210
3.5 7.94 49.5 6.2 92.3 195
5.7 11.18 51 18.8 55.9 595
4.5 6.7 48.6 13 80.8 76
5.4 7.93 64.1 7.5 98.1 68
4.4 7.7 56.9 12.2 67.9 129
4.8 9.36 54.1 18.3 90.6 165
4.9 11.07 53.2 28.5 122 768
4.5 10.05 52 36.7 87.5 184
4 9.2 52.2 17.5 71.1 298
2.9 10.8 63.9 1.6 57.4 130
1.6 8.82 58.2 3.8 51.7 80
1.3 8.16 60.9 1.9 58 73
4.2 9.06 52.8 6.9 75.9 134
4.4 11.65 54.5 18.6 96.1 248
4.3 9.42 50.6 24.8 62.8 508
4.2 7.39 51 14.6 88.4 72
4.1 7.13 55.7 9 39.6 279
4.4 9.66 52.1 9.9 98.3 83
3.9 11.15 56.5 7.7 73.9 281
3.9 8.28 49.5 12 113.1 546
2.5 8.54 56.1 27 82.5 98
6.1 13.59 54 24.2 111.7 312
5 11.03 49.9 19.7 102.1 318
4.3 7.65 47.1 16.4 65.7 318
3.2 8.19 52.1 10.8 59.2 176
5.3 9.77 50.2 15.7 89.7 154
7.6 11.41 61.1 16.6 97.9 535
6.5 19.56 59.9 17.2 113.7 306
4.5 8.28 48.1 26 101.8 108
4.3 9.89 45.2 11.8 108.7 190
