"Y" "X1" "X2" "X3" "X4" "X5"
5.7 11.2 56.5 34.5 88.9 180
4.2 9.06 52.8 6.9 75.9 134
4.3 8.67 48.2 24.4 90.8 182
1.7 8.09 56.9 7.6 56.9 92
5.5 7.63 52.1 11.6 61.1 197
5.3 8.15 54.9 12.3 79.8 99
5 11.03 49.9 19.7 102.1 318
6.6 13.95 65.9 15.6 133.5 356
5.2 9.84 53 17.7 72.6 210
5 7.78 45.5 20.9 71.6 489
3.2 8.19 52.1 10.8 59.2 176
7.8 12.07 43.7 52.4 105.3 157
5.5 8.37 50.7 15.1 84.8 115
3.7 8.58 55 7.4 95.9 304
4.5 9.31 47.2 30.2 101.3 170
6.2 10.15 51.9 16.4 59.2 568
4.3 7.65 47.1 16.4 65.7 318
5.4 7.93 64.1 7.5 98.1 68
6.4 11.62 53.9 25.5 99.2 133
4.5 10.05 52 36.7 87.5 184
3.7 7.14 59 2.6 75.8 70
4.2 7.53 42 23.1 98.9 95
3.1 9.41 59.5 20.6 91.7 29
5.6 11.48 57.6 20.3 82 252
3.1 8.63 54 8.4 56.2 76
1.3 8.16 60.9 1.9 58 73
2.9 7.91 52.8 11.9 79.5 477
4.8 12.01 52.8 10.8 96.9 298
3.9 10.73 50.6 19.3 101 445
5.5 11.08 50.2 18.6 63.6 387
4.2 9 56.3 14.6 76.4 72
4.2 7.39 51 14.6 88.4 72
2.6 9.76 53.2 6.9 80.1 64
2.7 8.34 56.9 8.1 74 107
5.5 10.9 57.2 10.6 71.9 593
1.3 8.92 53.9 2.2 79.5 56
1.6 8.82 58.2 3.8 51.7 80
5.7 11.8 53.8 9.1 116.9 571
5.3 9.77 50.2 15.7 89.7 154
4.3 10.39 54.6 14 88.3 353
3.4 10.42 58 8 59 119
3.7 8.48 51.1 12.1 92.8 166
3.8 8.66 52.8 6.8 69.5 246
2.9 10.8 63.9 1.6 57.4 130
5.8 11.41 50.4 23.8 73 424
4.5 8.28 48.1 26 101.8 108
5.1 10.3 59.6 27.8 88.9 175
6.5 19.56 59.9 17.2 113.7 306
3.5 7.94 49.5 6.2 92.3 195
2.9 8.9 49.7 12.7 86.9 52
2.7 7.14 57.6 13.1 92.6 92
4.4 8.88 55.8 14.1 76.8 237
4.8 9.84 62.2 12 82.3 600
5 9.78 52.3 17.6 95.9 270
4.1 7.13 55.7 9 39.6 279
5.1 9.76 50.9 21.9 97 150
4.6 7.84 49.1 7.1 87.9 60
4.1 9.05 51.2 20.5 79.8 195
4.4 9.66 52.1 9.9 98.3 83
4.8 10.24 49 36.3 112.6 195
4.9 11.07 53.2 28.5 122 768
5.3 11.77 54.1 17.3 56 196
4.8 9.36 54.1 18.3 90.6 165
4.5 9.61 52.4 6.9 87.2 487
4 9.2 52.2 17.5 71.1 298
