"Y" "X1" "X2" "X3" "X4" "X5"
4.9 10.23 53.2 9.9 77.9 752
5.7 11.2 56.5 34.5 88.9 180
4.8 12.01 52.8 10.8 96.9 298
1.3 8.92 53.9 2.2 79.5 56
3.1 9.41 59.5 20.6 91.7 29
5.7 11.8 53.8 9.1 116.9 571
4.4 7.7 56.9 12.2 67.9 129
1.8 7.67 51.7 2.5 40.4 106
4.3 9.23 51.6 11.6 42.6 620
5.3 8.15 54.9 12.3 79.8 99
7.6 11.41 61.1 16.6 97.9 535
4 9.2 52.2 17.5 71.1 298
6.5 19.56 59.9 17.2 113.7 306
4.1 9.35 53.8 15.9 80.9 833
2.8 9.97 58.2 16.5 76.5 90
5.5 11.08 50.2 18.6 63.6 387
3.7 8.48 51.1 12.1 92.8 166
6.6 13.95 65.9 15.6 133.5 356
2 8.93 56 6.2 72.5 95
5.9 17.94 56.2 26.4 91.8 835
5.6 8.95 53.7 18.9 122.8 147
6.3 9.74 54.4 11.4 76.1 221
4.3 8.3 57.2 6.8 83.8 167
3.4 8.45 38.8 12.9 85 235
5.6 11.48 57.6 20.3 82 252
6.2 10.15 51.9 16.4 59.2 568
7.8 12.07 43.7 52.4 105.3 157
2.9 8.9 49.7 12.7 86.9 52
5.8 11.41 50.4 23.8 73 424
4.1 9.05 51.2 20.5 79.8 195
5.2 9.53 51.5 15 65.7 298
3.5 7.94 49.5 6.2 92.3 195
5.3 9.77 50.2 15.7 89.7 154
2.6 9.76 53.2 6.9 80.1 64
5.3 11.77 54.1 17.3 56 196
6.4 11.62 53.9 25.5 99.2 133
4.5 10.05 52 36.7 87.5 184
2.9 10.79 44.2 2.6 56.6 461
4.6 9.68 57.8 16.7 79 186
4.7 10.72 53.8 23.2 94.1 113
4.3 9.42 50.6 24.8 62.8 508
1.6 8.82 58.2 3.8 51.7 80
2.9 10.8 63.9 1.6 57.4 130
4.5 9.61 52.4 6.9 87.2 487
4.2 7.53 42 23.1 98.9 95
4.5 11.46 56.9 15.6 97.7 191
5.7 11.18 51 18.8 55.9 595
5.1 10.3 59.6 27.8 88.9 175
3.9 8.28 49.5 12 113.1 546
2.3 7.95 51.8 4.6 54.9 163
