"Y" "X1" "X2" "X3" "X4" "X5"
3.1 9.41 59.5 20.6 91.7 29
5.3 8.15 54.9 12.3 79.8 99
5 11.03 49.9 19.7 102.1 318
3.5 8.03 54.2 24.3 87.3 97
4 9.2 52.2 17.5 71.1 298
2.3 7.95 51.8 4.6 54.9 163
5.9 17.94 56.2 26.4 91.8 835
2.5 8.54 56.1 27 82.5 98
3.5 7.94 49.5 6.2 92.3 195
2.9 8.86 51.3 9.5 87.5 100
4.8 9.36 54.1 18.3 90.6 165
4.4 11.65 54.5 18.6 96.1 248
3.7 7.14 59 2.6 75.8 70
2.1 8.02 55 3.8 46.5 91
4.3 10.39 54.6 14 88.3 353
5.6 11.48 57.6 20.3 82 252
5.2 9.84 53 17.7 72.6 210
6.6 13.95 65.9 15.6 133.5 356
2.6 9.76 53.2 6.9 80.1 64
4.8 9.84 62.2 12 82.3 600
4.8 10.24 49 36.3 112.6 195
5.3 9.77 50.2 15.7 89.7 154
4.1 10.47 53.2 5.7 69.1 196
3.2 8.19 52.1 10.8 59.2 176
5.1 9.76 50.9 21.9 97 150
5 9.78 52.3 17.6 95.9 270
4.1 9.05 51.2 20.5 79.8 195
3 11.2 45 7 78.9 130
4.3 8.67 48.2 24.4 90.8 182
2.8 9.97 58.2 16.5 76.5 90
4.9 10.23 53.2 9.9 77.9 752
5 10.33 55.8 21.2 104.3 266
4.6 9.68 57.8 16.7 79 186
7.7 12.78 56.8 46 116.9 322
3.4 8.45 38.8 12.9 85 235
3.9 10.73 50.6 19.3 101 445
4.3 7.65 47.1 16.4 65.7 318
6.2 10.15 51.9 16.4 59.2 568
4.5 9.44 52.5 10.9 58.5 297
5.6 10.12 51.7 14.9 79.1 362
5.4 11.18 45.7 60.5 85.8 640
4.2 7.53 42 23.1 98.9 95
7.6 11.41 61.1 16.6 97.9 535
2 7.08 52 12.3 56.4 87
2.7 8.34 56.9 8.1 74 107
3.1 8.63 54 8.4 56.2 76
5.4 7.93 64.1 7.5 98.1 68
4.2 7.39 51 14.6 88.4 72
1.3 8.16 60.9 1.9 58 73
4.5 9.31 47.2 30.2 101.3 170
4.4 8.88 55.8 14.1 76.8 237
4.1 9.35 53.8 15.9 80.9 833
4.4 9.66 52.1 9.9 98.3 83
6.3 8.84 56.3 29.6 82.6 85
2.9 10.79 44.2 2.6 56.6 461
