"Y" "X1" "X2" "X3" "X4" "X5"
6.6 13.95 65.9 15.6 133.5 356
5 11.03 49.9 19.7 102.1 318
3.2 8.19 52.1 10.8 59.2 176
2.6 9.76 53.2 6.9 80.1 64
7.6 11.41 61.1 16.6 97.9 535
4.8 9.36 54.1 18.3 90.6 165
4 9.2 52.2 17.5 71.1 298
1.8 7.67 51.7 2.5 40.4 106
4.1 7.13 55.7 9 39.6 279
4.9 11.07 53.2 28.5 122 768
4.4 9.66 52.1 9.9 98.3 83
4.4 10.02 49.5 8.3 93 265
4.5 10.05 52 36.7 87.5 184
2.7 8.34 56.9 8.1 74 107
5.4 7.93 64.1 7.5 98.1 68
6.1 13.59 54 24.2 111.7 312
6.4 11.62 53.9 25.5 99.2 133
3.5 8.03 54.2 24.3 87.3 97
4.3 7.65 47.1 16.4 65.7 318
3.7 8.48 51.1 12.1 92.8 166
4.2 7.53 42 23.1 98.9 95
1.6 8.82 58.2 3.8 51.7 80
2.1 8.02 55 3.8 46.5 91
2 8.93 56 6.2 72.5 95
4.3 9.89 45.2 11.8 108.7 190
3 11.2 45 7 78.9 130
4.9 9.89 50.5 17.7 103.6 167
5 7.78 45.5 20.9 71.6 489
1.4 7.14 51.7 4.1 45.7 115
5.3 11.77 54.1 17.3 56 196
4.5 6.7 48.6 13 80.8 76
2.9 10.79 44.2 2.6 56.6 461
2.5 8.54 56.1 27 82.5 98
1.3 8.92 53.9 2.2 79.5 56
2.9 7.91 52.8 11.9 79.5 477
2.9 10.8 63.9 1.6 57.4 130
5.5 10.9 57.2 10.6 71.9 593
2 7.08 52 12.3 56.4 87
2.3 7.95 51.8 4.6 54.9 163
3.7 7.14 59 2.6 75.8 70
4.1 9.35 53.8 15.9 80.9 833
5.7 11.8 53.8 9.1 116.9 571
7.8 12.07 43.7 52.4 105.3 157
5.2 9.53 51.5 15 65.7 298
6.2 10.15 51.9 16.4 59.2 568
4.3 9.42 50.6 24.8 62.8 508
6.5 19.56 59.9 17.2 113.7 306
4.5 11.46 56.9 15.6 97.7 191
1.7 8.09 56.9 7.6 56.9 92
4.6 9.68 57.8 16.7 79 186
