"Y" "X1" "X2" "X3" "X4" "X5"
6.3 9.74 54.4 11.4 76.1 221
5.3 9.77 50.2 15.7 89.7 154
4.7 10.72 53.8 23.2 94.1 113
4.8 12.01 52.8 10.8 96.9 298
4 9.2 52.2 17.5 71.1 298
5.7 11.8 53.8 9.1 116.9 571
1.8 7.67 51.7 2.5 40.4 106
5.6 8.95 53.7 18.9 122.8 147
2.6 9.76 53.2 6.9 80.1 64
3.9 11.15 56.5 7.7 73.9 281
7.6 11.41 61.1 16.6 97.9 535
5.2 9.53 51.5 15 65.7 298
5.6 11.48 57.6 20.3 82 252
4.2 9.06 52.8 6.9 75.9 134
7.8 12.07 43.7 52.4 105.3 157
4.1 9.35 53.8 15.9 80.9 833
4.6 7.84 49.1 7.1 87.9 60
3.9 8.28 49.5 12 113.1 546
5.5 10.9 57.2 10.6 71.9 593
1.3 8.16 60.9 1.9 58 73
4.9 11.07 53.2 28.5 122 768
3.1 8.63 54 8.4 56.2 76
2.3 7.95 51.8 4.6 54.9 163
4.1 9.05 51.2 20.5 79.8 195
4.2 9 56.3 14.6 76.4 72
4.5 10.05 52 36.7 87.5 184
5.3 11.77 54.1 17.3 56 196
2.9 8.9 49.7 12.7 86.9 52
4.1 10.47 53.2 5.7 69.1 196
3.1 9.41 59.5 20.6 91.7 29
4.7 8.77 54.5 5.2 47 143
5.3 8.15 54.9 12.3 79.8 99
3.7 7.58 56.7 20.8 88 97
3.4 8.45 38.8 12.9 85 235
6.5 19.56 59.9 17.2 113.7 306
2 7.08 52 12.3 56.4 87
4.9 9.89 50.5 17.7 103.6 167
5.8 11.41 50.4 23.8 73 424
5 11.03 49.9 19.7 102.1 318
2.1 8.02 55 3.8 46.5 91
7.7 12.78 56.8 46 116.9 322
3.5 8.03 54.2 24.3 87.3 97
3.8 8.66 52.8 6.8 69.5 246
2.9 10.8 63.9 1.6 57.4 130
2.8 9.97 58.2 16.5 76.5 90
4.9 10.23 53.2 9.9 77.9 752
5.2 9.84 53 17.7 72.6 210
6.1 13.59 54 24.2 111.7 312
5 7.78 45.5 20.9 71.6 489
3.7 7.14 59 2.6 75.8 70
