"Y" "X1" "X2" "X3" "X4" "X5"
3.7 7.58 56.7 20.8 88 97
5.6 8.95 53.7 18.9 122.8 147
3.7 8.58 55 7.4 95.9 304
5.6 11.48 57.6 20.3 82 252
7.7 12.78 56.8 46 116.9 322
5.7 11.18 51 18.8 55.9 595
4.2 8.88 51.5 10.1 86.9 305
4.5 8.28 48.1 26 101.8 108
4.2 7.53 42 23.1 98.9 95
6.4 11.62 53.9 25.5 99.2 133
5.2 9.84 53 17.7 72.6 210
4.7 8.77 54.5 5.2 47 143
2.1 8.02 55 3.8 46.5 91
4.5 10.05 52 36.7 87.5 184
2.8 9.97 58.2 16.5 76.5 90
6.6 13.95 65.9 15.6 133.5 356
6.1 13.59 54 24.2 111.7 312
3 11.2 45 7 78.9 130
4.4 7.7 56.9 12.2 67.9 129
4.3 8.3 57.2 6.8 83.8 167
4.5 9.31 47.2 30.2 101.3 170
1.6 8.82 58.2 3.8 51.7 80
5 11.03 49.9 19.7 102.1 318
3.4 8.45 38.8 12.9 85 235
4 9.2 52.2 17.5 71.1 298
3.2 8.19 52.1 10.8 59.2 176
4.3 9.89 45.2 11.8 108.7 190
5.5 11.08 50.2 18.6 63.6 387
6.5 19.56 59.9 17.2 113.7 306
4.3 9.42 50.6 24.8 62.8 508
4.9 11.07 53.2 28.5 122 768
5.6 10.12 51.7 14.9 79.1 362
7.8 12.07 43.7 52.4 105.3 157
4.4 10.02 49.5 8.3 93 265
2.9 8.86 51.3 9.5 87.5 100
4.6 7.84 49.1 7.1 87.9 60
4.6 10.16 54.2 8.4 51.5 831
5.3 8.15 54.9 12.3 79.8 99
2.5 8.54 56.1 27 82.5 98
4.8 9.36 54.1 18.3 90.6 165
4.6 9.68 57.8 16.7 79 186
3.9 10.73 50.6 19.3 101 445
4.8 12.01 52.8 10.8 96.9 298
2 8.93 56 6.2 72.5 95
6.2 10.15 51.9 16.4 59.2 568
3.5 8.03 54.2 24.3 87.3 97
2.9 8.9 49.7 12.7 86.9 52
3.9 8.28 49.5 12 113.1 546
1.3 8.92 53.9 2.2 79.5 56
5.2 9.53 51.5 15 65.7 298
2.9 10.79 44.2 2.6 56.6 461
3.9 11.15 56.5 7.7 73.9 281
2.7 7.14 57.6 13.1 92.6 92
2.7 8.34 56.9 8.1 74 107
4.1 7.13 55.7 9 39.6 279
7.6 11.41 61.1 16.6 97.9 535
4.8 9.84 62.2 12 82.3 600
5.3 9.77 50.2 15.7 89.7 154
4.9 10.23 53.2 9.9 77.9 752
4.3 8.67 48.2 24.4 90.8 182
