"Y" "X1" "X2" "X3" "X4" "X5"
5 10.33 55.8 21.2 104.3 266
3.9 10.73 50.6 19.3 101 445
4.2 7.53 42 23.1 98.9 95
4.2 7.39 51 14.6 88.4 72
2.9 10.8 63.9 1.6 57.4 130
2 8.93 56 6.2 72.5 95
4.4 10.02 49.5 8.3 93 265
5.5 11.08 50.2 18.6 63.6 387
7.8 12.07 43.7 52.4 105.3 157
5.3 8.15 54.9 12.3 79.8 99
4.8 10.24 49 36.3 112.6 195
4.4 8.88 55.8 14.1 76.8 237
3.5 8.03 54.2 24.3 87.3 97
5.6 10.12 51.7 14.9 79.1 362
4.9 9.89 50.5 17.7 103.6 167
4 9.2 52.2 17.5 71.1 298
7.7 12.78 56.8 46 116.9 322
4.3 9.89 45.2 11.8 108.7 190
4.7 10.72 53.8 23.2 94.1 113
2.8 9.97 58.2 16.5 76.5 90
4.9 10.23 53.2 9.9 77.9 752
2.9 10.79 44.2 2.6 56.6 461
4.6 10.16 54.2 8.4 51.5 831
6.5 19.56 59.9 17.2 113.7 306
4.8 12.01 52.8 10.8 96.9 298
5.7 11.18 51 18.8 55.9 595
5.6 8.95 53.7 18.9 122.8 147
4.6 9.68 57.8 16.7 79 186
4.4 11.65 54.5 18.6 96.1 248
4.5 9.61 52.4 6.9 87.2 487
2 7.08 52 12.3 56.4 87
4.3 9.23 51.6 11.6 42.6 620
2.9 8.86 51.3 9.5 87.5 100
4.4 9.66 52.1 9.9 98.3 83
3.7 7.14 59 2.6 75.8 70
4.3 8.3 57.2 6.8 83.8 167
4.9 11.07 53.2 28.5 122 768
1.4 7.14 51.7 4.1 45.7 115
5.2 9.84 53 17.7 72.6 210
1.8 7.67 51.7 2.5 40.4 106
1.3 8.92 53.9 2.2 79.5 56
5.1 10.3 59.6 27.8 88.9 175
4.5 9.31 47.2 30.2 101.3 170
3.4 10.42 58 8 59 119
5 7.78 45.5 20.9 71.6 489
6.1 13.59 54 24.2 111.7 312
3.8 8.66 52.8 6.8 69.5 246
3.7 8.48 51.1 12.1 92.8 166
3.9 11.15 56.5 7.7 73.9 281
2.9 7.91 52.8 11.9 79.5 477
1.6 8.82 58.2 3.8 51.7 80
4.6 7.84 49.1 7.1 87.9 60
2.6 9.76 53.2 6.9 80.1 64
5.7 11.8 53.8 9.1 116.9 571
5 9.78 52.3 17.6 95.9 270
