"Y" "X1" "X2" "X3" "X4" "X5"
4.5 6.7 48.6 13 80.8 76
5.2 9.84 53 17.7 72.6 210
4.1 9.35 53.8 15.9 80.9 833
4.2 9.06 52.8 6.9 75.9 134
4.9 11.07 53.2 28.5 122 768
2 7.08 52 12.3 56.4 87
7.6 11.41 61.1 16.6 97.9 535
3.2 8.19 52.1 10.8 59.2 176
4.5 10.05 52 36.7 87.5 184
3.1 9.41 59.5 20.6 91.7 29
4.3 9.23 51.6 11.6 42.6 620
5 11.03 49.9 19.7 102.1 318
4.2 8.88 51.5 10.1 86.9 305
4.3 9.42 50.6 24.8 62.8 508
2.7 7.14 57.6 13.1 92.6 92
5.5 8.37 50.7 15.1 84.8 115
3.7 7.14 59 2.6 75.8 70
2.7 8.34 56.9 8.1 74 107
4.6 7.84 49.1 7.1 87.9 60
5.5 10.9 57.2 10.6 71.9 593
4.3 9.89 45.2 11.8 108.7 190
2.9 10.79 44.2 2.6 56.6 461
4.3 7.65 47.1 16.4 65.7 318
2.8 9.97 58.2 16.5 76.5 90
3.7 8.58 55 7.4 95.9 304
2.1 8.02 55 3.8 46.5 91
2.9 8.86 51.3 9.5 87.5 100
4 9.2 52.2 17.5 71.1 298
4.1 10.47 53.2 5.7 69.1 196
3.5 7.94 49.5 6.2 92.3 195
3.4 8.45 38.8 12.9 85 235
4.5 9.44 52.5 10.9 58.5 297
1.3 8.92 53.9 2.2 79.5 56
4.2 7.53 42 23.1 98.9 95
5.6 10.12 51.7 14.9 79.1 362
1.6 8.82 58.2 3.8 51.7 80
4.5 8.28 48.1 26 101.8 108
1.8 7.67 51.7 2.5 40.4 106
4.2 7.39 51 14.6 88.4 72
3.9 11.15 56.5 7.7 73.9 281
4.5 9.61 52.4 6.9 87.2 487
4.3 10.39 54.6 14 88.3 353
4.2 9 56.3 14.6 76.4 72
5.1 9.76 50.9 21.9 97 150
6.1 13.59 54 24.2 111.7 312
4.9 9.89 50.5 17.7 103.6 167
4.3 8.67 48.2 24.4 90.8 182
5.3 11.77 54.1 17.3 56 196
6.6 13.95 65.9 15.6 133.5 356
5.6 8.95 53.7 18.9 122.8 147
5.9 17.94 56.2 26.4 91.8 835
4.8 10.24 49 36.3 112.6 195
2 8.93 56 6.2 72.5 95
4.3 8.3 57.2 6.8 83.8 167
4.8 12.01 52.8 10.8 96.9 298
3 11.2 45 7 78.9 130
5.5 7.63 52.1 11.6 61.1 197
5.6 11.48 57.6 20.3 82 252
4.4 8.88 55.8 14.1 76.8 237
5.3 9.77 50.2 15.7 89.7 154
4.5 9.31 47.2 30.2 101.3 170
3.4 10.42 58 8 59 119
4.8 9.36 54.1 18.3 90.6 165
3.9 10.73 50.6 19.3 101 445
4.8 9.84 62.2 12 82.3 600
