"Y" "X1" "X2" "X3" "X4" "X5"
3.8 8.66 52.8 6.8 69.5 246
6.3 9.74 54.4 11.4 76.1 221
5.5 7.63 52.1 11.6 61.1 197
4.4 8.88 55.8 14.1 76.8 237
4.2 7.53 42 23.1 98.9 95
1.7 8.09 56.9 7.6 56.9 92
4.3 10.39 54.6 14 88.3 353
2.9 8.9 49.7 12.7 86.9 52
4.8 9.36 54.1 18.3 90.6 165
5.1 10.3 59.6 27.8 88.9 175
5 11.03 49.9 19.7 102.1 318
5.3 11.77 54.1 17.3 56 196
3.1 9.41 59.5 20.6 91.7 29
5.1 9.76 50.9 21.9 97 150
1.3 8.16 60.9 1.9 58 73
5.7 11.18 51 18.8 55.9 595
4.3 9.89 45.2 11.8 108.7 190
4.7 8.77 54.5 5.2 47 143
5 10.33 55.8 21.2 104.3 266
5.5 8.37 50.7 15.1 84.8 115
4.3 8.67 48.2 24.4 90.8 182
4.8 9.84 62.2 12 82.3 600
2.6 9.76 53.2 6.9 80.1 64
4.1 9.05 51.2 20.5 79.8 195
4.2 8.88 51.5 10.1 86.9 305
2.7 7.14 57.6 13.1 92.6 92
5.2 9.53 51.5 15 65.7 298
2.9 10.8 63.9 1.6 57.4 130
3.1 8.63 54 8.4 56.2 76
2.1 8.02 55 3.8 46.5 91
3 11.2 45 7 78.9 130
4.5 9.44 52.5 10.9 58.5 297
4.2 9 56.3 14.6 76.4 72
6.6 13.95 65.9 15.6 133.5 356
4.4 10.02 49.5 8.3 93 265
4.5 11.46 56.9 15.6 97.7 191
5 7.78 45.5 20.9 71.6 489
3.9 11.15 56.5 7.7 73.9 281
4.2 9.06 52.8 6.9 75.9 134
2.5 8.54 56.1 27 82.5 98
4.1 7.13 55.7 9 39.6 279
3.9 8.28 49.5 12 113.1 546
4.4 9.66 52.1 9.9 98.3 83
4.6 9.68 57.8 16.7 79 186
4.9 11.07 53.2 28.5 122 768
